day_index,load_mwh,load_ma7_mwh,pv_ma7_mwh,net_ma7_mwh
0,127.28615238333332,104.67962941249999,35.881891158333325,68.79773825416666
1,127.65707848333331,109.27852729666665,36.03319463333332,73.24533266333333
2,81.88355671666666,112.2032211,36.060030363888885,76.14319073611111
3,81.89173006666665,114.30668410714286,35.8172490547619,78.48943505238095
4,127.67411883333331,114.22236861666669,36.09138623571429,78.13098238095237
5,126.8266901166667,114.13801714761905,36.26327521666666,77.87474193095238
6,126.92746215000004,114.08131453333333,36.20861183809524,77.87270269523809
7,126.69594395000004,114.04109523333332,36.15406621666666,77.88702901666667
8,127.06661819999992,113.87612496666667,36.013356221428566,77.8627687452381
9,81.48663841666662,113.89807777619048,36.37224104999999,77.52583672619048
10,81.61019496666665,113.92408184285712,36.86775769047618,77.05632415238095
11,126.51932696666667,113.96236113095235,36.82827389047618,77.13408724047618
12,126.98035978333334,113.92538198571427,37.07949541190476,76.8458865738095
13,127.10949061666663,113.83815881190473,37.392494130952386,76.44566468095238
14,126.96389896666663,113.78071060238094,37.566957007142854,76.21375359523809
15,126.80776418333329,113.7366419238095,37.834709604761905,75.90193231904757
16,80.87607619999997,113.67739997619044,37.80502200238095,75.87237797380949
17,81.2080575,113.48320787142858,38.44003107619047,75.04317679523808
18,126.21084621666658,113.44259209761903,38.56678366904762,74.87580842857142
19,126.56566615,113.37797309285713,38.43191121428571,74.94606187857141
20,125.75014588333346,113.30132445,38.76379118809523,74.53753326190476
21,126.67958854999995,113.21903970476191,39.36763980714285,73.85139989761906
22,126.35543114999997,113.24392576666666,39.53311864523808,73.71080712142859
23,80.3395357,113.11210920714286,39.95446776666666,73.15764144047618
24,80.63206428333336,113.21874707142854,39.56046353333333,73.65828353809522
25,126.38504864999997,113.03958368809523,40.45466633809524,72.58491735
26,125.64295023333331,112.99038637380951,41.23737514047618,71.75301123333334
27,126.4966109333333,112.9432984142857,41.342442909523804,71.6008555047619
28,125.42544486666671,112.32517584285713,41.304520271428565,71.02065557142858
29,126.01104994999997,111.6567364142857,41.97075399761904,69.68598241666668
30,80.00991998333339,111.22256766666666,42.1048710047619,69.11769666190476
31,76.3052062833333,110.51992308333332,42.228731480952376,68.29119160238095
32,121.70597265,110.02930016428569,41.82907628571428,68.2002238785714
33,122.60376899999993,109.49231627142856,41.788024616666654,67.70429165476189
34,121.57809884999998,108.94355583571428,42.233356092857136,66.71019974285714
35,121.99108443333331,108.86378172619048,42.55372672857142,66.31005499761905
36,122.25216269999999,108.84120042857141,42.35984,66.48136042857142
37,76.16859693333339,108.68031407380953,43.040422061904756,65.63989201190476
38,75.74678751666666,108.66076875476192,43.87434343095238,64.78642532380954
39,121.54790356666668,108.57116424761905,44.567837616666665,64.00332663095239
40,121.47756451666666,108.43661010714287,45.7106517904762,62.72595831666667
41,121.4412816166667,108.39433025238095,45.95464020000001,62.439690052380946
42,121.3638528833333,108.43829664285713,46.32675967857143,62.1115369642857
43,121.31028371666665,108.39959288809521,46.884918333333324,61.51467455476189
44,75.87263794999998,108.32570835952379,47.260001578571426,61.06570678095237
45,76.05455224999994,108.30999259047617,47.691315716666665,60.6186768738095
46,121.27697728333331,108.38184133809523,48.10422285714286,60.27761848095238
47,120.96037281666669,108.35255181190477,48.122982657142856,60.22956915476192
48,121.33127123333335,108.34246096666668,48.71882606666667,59.62363490000001
49,121.86679411666671,108.2892738261905,48.87068581428571,59.41858801190478
50,121.10525703333343,108.27001149047622,49.40078425238096,58.86922723809526
51,75.80200203333332,108.22267088095239,49.77927643571429,58.44339444523813
52,75.68224226666663,108.18867968809528,50.64100874999999,57.54767093809528
53,121.14214093333337,108.07352825952384,51.10649722857142,56.96703103095241
54,120.62898855,108.00127567380953,51.61089457619046,56.39038109761906
55,121.09333288333343,107.94171937619048,51.87529091904761,56.06642845714288
56,121.06073411666668,107.45056478809525,51.982135895238095,55.46842889285716
57,120.59948893333328,106.9817470952381,51.39525343333332,55.58649366190476
58,75.38510795000003,106.60028381666666,50.46891686666667,56.13136694999999
59,72.24416014999998,106.17823983095236,49.56428220952381,56.613957621428554
60,117.86041708333325,105.75148407619047,49.52100874285714,56.23047533333331
61,117.95874559999994,105.33349973571428,49.248157269047624,56.085342466666646
62,118.1390249833334,104.80425023571426,49.0575232,55.74672703571425
63,118.07344383333333,104.81861472619046,49.72840575,55.090208976190446
64,117.67359854999995,104.79469607142858,50.99374166904762,53.80095440238095
65,71.68036144999996,104.79245589523809,51.559369376190475,53.233086519047625
66,72.34471158333331,104.70110274761905,52.219521819047614,52.481580928571425
67,117.69298650000006,104.70664460476189,52.75291186666667,51.95373273809524
68,117.94306436666668,104.7871701047619,52.604156811904765,52.18301329285714
69,117.49955295000004,104.84838546190475,53.364352104761906,51.484033357142856
70,118.1122368333333,104.90270977619048,53.15282132857143,51.74988844761905
71,118.23727704999997,104.94417113095237,53.19177955714285,51.752391573809525
72,72.10886894999997,104.9085364785714,54.61099347857142,50.29754299999998
73,72.72498178333332,104.8733751404762,54.97768363095239,49.89569150952381
74,117.98321598333337,104.75470673571428,55.28331011666667,49.47139661904761
75,117.69362179999993,104.67057883333332,55.96156167142857,48.709017161904754
76,117.25342358333339,104.73981644285713,56.60165091904762,48.13816552380952
77,117.28155799999999,104.62723754999999,57.20948994285714,47.41774760714286
78,117.6483817333333,104.59248916190474,57.829216814285715,46.76327234761902
79,72.59353221666667,104.55413899285713,57.7708144095238,46.78332458333332
80,71.9369295333333,104.6683881690476,57.910182678571424,46.75820549047618
